Event Name,About the event,Important Info,,,,,,,,Rules,Contact,Form/Link
,,Mode,Team Size,Theme,Prize Pool,Prize Distribution,Timeline,Registeration Timeline,Rounds,,,
Pixel Flow 2.0,"his 48-hour UI/UX design competition will test your creativity, technical prowess, and problem-solving skills in digital design. Participants will be tasked with tackling a unique design problem or theme centered around emerging technologies, user-centered innovation, or futuristic trends. You aim to craft a visually stunning and intuitively seamless user interface (UI) and user experience (UX) design that solves the problem and redefines creativity and functionality. ",Online,1-2,"NOT REVEAL NOW  Users can book tickets for events, such as esports cafes, sporting turfs. ",20k,10k | 6k | 4k,15-17 November,16 Nov 24,1 Round,"Each participant can submit only one solution. The submission must include the following :
Link(view-only) to the Figma file
Link to Figma Prototype
A PDF file containing a description of your solution and the UX techniques used
(Optional) You can provide a video demonstrating your prototype",Siddharth Palod 7878099721,https://unstop.com/hackathons/pixel-flow-20-synergy24-international-institute-of-information-technology-iiit-bangalore-1179218
Pitching Pixels 2.0,Put your entrepreneurial skills to the test and compete with top rising talents in the business world. Pitch your game-changing ideas.,Online,1-3,"Healthcare, Energy, FinTech",20k,10k | 6k | 4k,1-5 Nov + 10Nov,5 Nov 24,2 Round,"Discuss the significance of the problem and proposed solution, the needs addressed, and the target market. Highlight the unique features that differentiate your solution from existing options. Lastly, outline the business model, including revenue generation, pricing strategy, and distribution channels.",Ashok ECELL 79931 40049,https://unstop.com/competitions/pitching-pixels-20-synergy24-international-institute-of-information-technology-iiit-bangalore-1186674
Dappathon,"A 12hr Web3 Hackathon to Learn, Buidl, and Earn on Aptos Aptos x Spheron x IBW brings you day dappAthons a series of 12-hour hackathons for students, where you can learn, build, and ship a project on Aptos",Offline,1-3,"Open to all kinds of projects across themes, Suggestions: Promote Decentralization, DAO Tooling, Developer Tooling, Consumer Payments,Streaming Payments:,Cause-driven building",$10k,,9 Nov 9am-9pm,9 Nov,1 Round,"Complemented with informative workshops, enjoyable mini-games, cool prizes, and pizzas to eat.",Hardik Spheron hardik@spheron.network,https://lu.ma/user/synergy_iiitb
ML-Fiesta,ML-Fiesta is our AI/ML hackathon where the brightest engineering minds can come together to solve real-life problems that have a meaningful impact.,Online,1-3,,60k,30k | 20k | 10k,,,,Please refer to the detailed problem statement to understand the rules. The judges retain the right to withhold prizes if submissions do not meet the expected standards,,
Cipher Chase,A 24 hr Capture the flag competition which involves solving practical security related challenges. It is a fun learning experience and gives participants an opportunity to explore various cybersecurity and cryptography domains.,Online,1-2,"Money Heist: Inspired by the famous crew in ""Money Heist,"" you and your partner are recruited by The Professor, a brilliant hacker mastermind, to execute the greatest digital heist in history. The mission? Break into the world’s most secure cryptocurrency vault and steal billions without leaving a trace. The vault is protected by military-grade security, encrypted systems, firewalls, and booby-trapped data. Each challenge brings you one step closer to pulling off the perfect digital robbery. ",₹15k,7k | 5k | 3k,9 Nov 9pm- 10 Nov 9pm,5 Nov 2024,1 Round,"-Each team can comprise a maximum of 2 members .
-The challenges will be released as 2 sets. At the 12 hr mark, the second set of challenges will be released.  
-Each team will have a flag , the team need to navigate through the challenges to figure out their flag. Upon submission of the correct flag the team will earn points.
-The number of points per challenge is determined by the number of teams that have solved the challenge
-The flag for each team is unique , if a team enters the flag of another team they will be disqualfied.",Sathvik S Rao - 886702955 | Shreyas Arun Saggere 8095150405,create form
Code Quest 3.0,"Get ready for a 2-hour coding challenge that will put your algorithmic thinking, mathematical skills, and keen observation to the test! You'll face a set of diverse coding problems that require efficient solutions. The goal? Solve as many problems as you can, as fast as you can. The participant who solves the most problems in the least time wins. Are you up for the challenge?",Online,Individual,no theme,20k,10k | 6k | 4k,16 Nov 8pm - 10pm,16 Nov,1 Round,"- Platform: The contest will be hosted on Codeforces. All participants must have an active Codeforces account.
- Duration & Problems: The contest will last for 2 hours, with 6-7 problems of varying difficulty, requiring strong algorithmic, mathematical, and observational skills.
- Scoring & Penalties: The participant who solves the most problems wins. In case of a tie, the one who solves them in the least amount of time (including penalties) will be declared the winner. Each incorrect submission results in a 10-minute time penalty, added to the final submission time for that problem.
- Fair Play & Eligibility: This is an individual competition. Collaboration, sharing solutions, or using any external assistance, including AI tools, is strictly prohibited. Plagiarism or misconduct will result in immediate disqualification.", , 
Bid and Build,Ever heard of an auction where you can select your startup team from? Here we are with an auction with a little bit of spice in it. This competition will refine your team-building skills and you will identify the various roles and power in the company. Get ready for the experience of auction and team building together.,Offline,3,NOT REVEALED,10k,Not decided,8 Nov 1pm onwards,8 Nov,1 Round ( If more than anticipated participants then Offline Quiz based knockout round),"Participants will be given a startup scenario around which you will have to build a startup team that suits the problem statement the best. Use your strategy to get the appropriate team member, and decide which skills are best apt for a position in the team. Build your startup team, defeat your rivals, and drive the performance of your team to the best.",Parthiv ECELL 9883015685,
Trivia Verse,2 Round Tech Quiz. Teams of 3. A (likely written/online) preliminary round followed by the Finals. Quiz rounds with engaging formats and interesting questions (no obscure facts)! ,Offline,2-3,"Tech, business and related fields",₹10k,Not decided,10 Nov,10 Nov,2 Rounds,"1. Preliminary Round - Written or Online, for participants must be present at the venue. 2. Use of phones or external devices is strictly prohibited. 3. The Quizmaster's decision is final",Siddharth (9845084898),
Lense Flare 3.0,"Introducing Lens Flare 3.0, our theme-based short film competition, where filmmakers showcase their creativity with films up to 13 minutes in length. Nominated films will be screened in the auditorium, and the audience will vote for the ""Most Popular Film"" award. Industry professionals will select the top films, awarding cash prizes to the 1st, 2nd, and 3rd place winners. Be part of a celebration of talent and storytelling during the fest! (The topic will be announced on 23rd October)",Offline,No restrictions,TBD (Will be out on 23rd Oct),20k,TBD,10 Nov,10 Nov,1 Round,"Theme: TBD
Time Limit: 13 minutes
Registration fee: Free entry
Synopsis submission: This will not be a part of the judging criteria, but is a prerequisite for nomination. The synopsis, along with your team name, is to be mailed to filmdiv@iiitb.ac.in with the subject in the following format:
LensFlare_<TeamName>_<ShortFilmName>
This has to be done by 29th October EOD.
Participation: A student can be a part of multiple teams in any capacity.
Submission: The video must be in MP4 or avi format. The submission form will be opened soon.
Nominations: The core organising team, along with the core team of The Film Division will nominate the best films out of all submissions for screening.
Screening: The nominated films will be screened in the IIITB Auditorium in front of a live audience. 
Prizes: The judges (industry professionals) will give their final verdict after the screening of all the films and cash prizes will be given away to the winners.
Prize distribution: TBD
Audience participation: After the screening of all the films and prize distribution, the audience will be given a 5 minute window to vote for their favourite film. This vote will decide the ‘Most Popular Film’. 
Important Dates: 
Title and synopsis submission: 11:59 pm, 29th October 
Short film submission: 11:59 pm, 7th November 
Nominations announcement: 9:00 pm, 8th November
Screening, voting and verdict: 10th November (Audi)

*Films should not have been previously published in any media.
*All entries must have English subtitles.","Varshith (9886987649), Nathan (8848839946)",Create form
